ﾎﾜｲﾄﾊﾟﾚｽｼﾝﾜ503,東京都豊島区南大塚3-35-3 ﾎﾜｲﾄﾊﾟﾚｽｼﾝﾜ503
浜ビル3F,東京都豊島区北大塚3-25-11 浜ビル3F
浜ビル4F,東京都豊島区北大塚3-25-11 浜ビル4F
大塚ｷｬﾘｱﾋﾞﾙ8F,東京都豊島区北大塚2-17-4 大塚ｷｬﾘｱﾋﾞﾙ8F
SAKURAHOUSE2　A,東京都豊島区南大塚3-13-2 SAKURAHOUSE2　A
SAKURAHOUSE2　B,東京都豊島区南大塚3-13-2 SAKURAHOUSE2　B
SAKURAHOUSE2　C,東京都豊島区南大塚3-13-2 SAKURAHOUSE2　C
SAKURAHOUSE2　D,東京都豊島区南大塚3-13-2 SAKURAHOUSE2　D
ｴﾐﾅｽ池袋801,東京都豊島区南池袋2-47-4 ｴﾐﾅｽ池袋801
ガーデン大塚304,東京都豊島区南大塚3-38-14 ガーデン大塚304
URBANAGE高田馬場101,東京都豊島区高田3-2-10 URBANAGE高田馬場101
URBANAGE高田馬場102,東京都豊島区高田3-2-10 URBANAGE高田馬場102
URBANAGE高田馬場201,東京都豊島区高田3-2-10 URBANAGE高田馬場201
URBANAGE高田馬場202,東京都豊島区高田3-2-10 URBANAGE高田馬場202
URBANAGE高田馬場301,東京都豊島区高田3-2-10 URBANAGE高田馬場301
URBANAGE高田馬場302,東京都豊島区高田3-2-10 URBANAGE高田馬場302
URBANAGE高田馬場401,東京都豊島区高田3-2-10 URBANAGE高田馬場401
URBANAGE高田馬場402,東京都豊島区高田3-2-10 URBANAGE高田馬場402
ｻﾁ･ﾍﾞﾙﾏﾝ南大塚第4ﾏﾝｼｮﾝ1001,東京都豊島区南大塚1-38-4 ｻﾁ･ﾍﾞﾙﾏﾝ南大塚第4ﾏﾝｼｮﾝ1001
ｻﾁ･ﾍﾞﾙﾏﾝ南大塚第4ﾏﾝｼｮﾝ1002,東京都豊島区南大塚1-38-4 ｻﾁ･ﾍﾞﾙﾏﾝ南大塚第4ﾏﾝｼｮﾝ1002
